text,intent
i want some hellp,help
please allah hafiz,goodbye
please hi there,greeting
please i am stressed,stress
can you be my friend,friendship
hello please,greeting
i need a friend,friendship
mujhe help chahiye please,help
kya haal hy,greeting
kya tum mere dost bano gy,friendship
help kr sakty hu,help
support chahiye please,help
khuda hafiz please,goodbye
please kaise ho tum,greeting
please dil udas hai,stress
mughe madad ki zarorat hy,help
kya haal hai,greeting
kaisy ho,greeting
dil udas hai,stress
please goodbye,goodbye
bye,goodbye
can you be my friend please,friendship
i need a friend,friendship
mein stress mein huon,stress
allah hafiz please,goodbye
mujhe dost chahiye,friendship
bohat pareshan huon,stress
take care please,goodbye
huw are you,greeting
can you help me,help
i need a friend please,friendship
mujhe dost chahiye please,friendship
mujhe dost chahiye please,friendship
i need a friend please,friendship
please see you,goodbye
please kya hall hai,greeting
mind disturbed hai,stress
please bye,goodbye
please kya tum mere dost bano gy,friendship
aoa,greeting
please support chahiye,help
please good night,goodbye
please aoa,greeting
please can you be my friend,friendship
can you hellp me,help
dil udas hai,stress
bye,goodbye
meri koi friend nahi please,friendship
please see you,goodbye
i feel depressed,stress
support chahiye please,help
i want some help,help
i need hellp,help
please kya tum mere dost bano gy,friendship
meri koi friend nahi,friendship
hi,greeting
support chahiye,help
mughe madad ki zarorat hai,help
please hello,greeting
bohat tension hy,stress
please good night,goodbye
please take care,goodbye
i am stressed please,stress
khuda hafiz please,goodbye
please bye,goodbye
please i need help,help
mujhe help chahiye,help
can you be my friend,friendship
i need hellp,help
hi there,greeting
dil udas hy,stress
mughe help chahiye,help
i am stressed,stress
please hello,greeting
mujhe dost chahiye please,friendship
i feel depressed,stress
please mujhe help chahiye,help
please aoa,greeting
please allah hafiz,goodbye
please please help,help
can you be my friend please,friendship
support chahiye,help
aoa,greeting
bohat pareshan huon,stress
bohat tension hai,stress
mughe madad ki zarorat hy,help
kaisy ho,greeting
hello please,greeting
bohat tension hai please,stress
please kya tum mere dost bano gy,friendship
please mujhe dost chahiye,friendship
hello dear please,greeting
can you be my friend,friendship
mein stress mein huon,stress
help kr sakty ho please,help
will you be my friend,friendship
help kr sakty ho please,help
i need hellp,help
please allah hafiz,goodbye
aoa please,greeting
please see you,goodbye
kya tum mere dost bano gy please,friendship
i am stressed please,stress
i feel depressed,stress
meri koi friend nahi please,friendship
please can you be my friend,friendship
mein thak gaya hoon,stress
will you be my friend please,friendship
will you be my friend please,friendship
take care please,goodbye
can you hellp me,help
mujhe dost chahiye,friendship
bohat pareshan hoon,stress
please mind disturbed hai,stress
khuda hafiz please,goodbye
allah hafiz,goodbye
bohat pareshan hoon,stress
mujhe help chahiye please,help
i feel depressed,stress
please hellp,help
mujhe dost chahiye,friendship
mein stress mein hoon please,stress
please hey,greeting
please please help,help
please hello dear,greeting
kaisy hu,greeting
i want some hellp,help
i feel depressed please,stress
mein stress mein hoon,stress
bye,goodbye
will you be my friend,friendship
see you,goodbye
