id,language,gender_context,category,student_statement,advisor_reply
1,Mixed,Neutral,Local/Other Issues,Protests aur political unrest ki wajah se campus nahi ja sakta. Is liye semester freeze request kar raha/rahi hoon,Temporary semester freeze consider karein. Advisor ne recommend kiya hai semester freeze lene ke liye
2,Mixed,Female,Academic Issues,I failed PF and OOP both and I need time to prepare again. Is liye semester freeze request kar raha/rahi hoon,Aap semester freeze le sakte hain aur next semester me core subjects dobara enroll karein. Advisor ne recommend kiya hai semester freeze lene ke liye
3,English,Male,Medical Issues,Chronic pain ki wajah se classes attend nahi ho rahi,Medical certificate submit karein aur semester freeze request karein
4,RomanUrdu,Female,Financial Issues,Late fee fine lag gaya hai aur arrange nahi ho raha,Late fine waiver ya installment ke liye office se contact karein
5,RomanUrdu,Male,Medical Issues,Medical condition ki wajah se campus ana possible nahi,Semester freeze submit karen taake aap recovery pe focus karein
6,English,Male,Academic Issues,I dropped many courses and now I am confused what to enroll next,Academic advisor se consult karein aur proper enrollment plan banayein
7,English,Male,Mental Health,Anxiety attacks ki wajah se studies disturb ho rahi hain,Semester freeze le kar mental health improve karein
8,RomanUrdu,Female,Administrative Issues,Timetable clash hai aur meri classes manage nahi ho rahi,Semester freeze request kar sakte hain jab timetable adjust ho
9,RomanUrdu,Male,Personal/Family Issues,Family migration ki wajah se semester pause karna hai,Semester freeze allow hoti hai relocation ya migration case me
10,English,Neutral,Financial Issues,I lost my scholarship and cannot afford this semester,Financial support ke liye advisor ya office se discuss karein
11,English,Neutral,Personal/Family Issues,Family pressure hai ke main degree chor doon,Advisor se discuss karein aur semester freeze consider karein
12,Mixed,Neutral,Medical Issues,Major illness ke wajah se semester continue nahi kar sakta. Is liye semester freeze request kar raha/rahi hoon,Semester freeze allow ki ja sakti hai illness ke liye. Advisor ne recommend kiya hai semester freeze lene ke liye
13,Mixed,Male,Personal/Family Issues,Meri shaadi fix ho gayi hai aur relocation ho rahi hai. Is liye semester freeze request kar raha/rahi hoon,Semester freeze allow hoti hai relocation ya marriage ki wajah se. Advisor ne recommend kiya hai semester freeze lene ke liye
14,English,Male,Medical Issues,I had surgery and doctor ne complete rest kaha hai,Doctor certificate ke saath semester freeze le sakte hain
15,English,Male,Administrative Issues,Degree extension ka issue hai aur guidance chahiye,Semester freeze ke sath degree extension process initiate karein
16,English,Male,Gender/Role Specific,Family business sambhalna par raha hai temporarily,Semester freeze le kar aap responsibilities manage kar sakte hain
17,English,Male,Gender/Role Specific,Pregnancy ki wajah se semester continue nahi kar sakti,Semester freeze allow hoti hai maternity reasons me
18,RomanUrdu,Neutral,Academic Issues,I failed PF and OOP both and I need time to prepare again,Aap semester freeze le sakte hain aur next semester me core subjects dobara enroll karein
19,English,Female,Gender/Role Specific,Pregnancy ki wajah se semester continue nahi kar sakti,Semester freeze allow hoti hai maternity reasons me
20,English,Male,Administrative Issues,Mujhe 4pm ke baad class attend karna possible nahi,Semester freeze allow ki ja sakti hai timing issues me
21,English,Neutral,Financial Issues,Abbu ki job chali gayi hai is liye semester freeze chahiye,Temporary semester freeze allow ki ja sakti hai financial crisis ke liye
22,Mixed,Male,Mental Health,Depression ki wajah se classes miss ho rahi hain. Is liye semester freeze request kar raha/rahi hoon,Advisor ke saath discuss karein aur semester freeze lein. Advisor ne recommend kiya hai semester freeze lene ke liye
