language,gender_context,category,student_statement
English,Neutral,Medical,I had surgery and doctor told me to take full bed rest
English,Neutral,Mental Health,I feel mentally exhausted and cannot focus on studies
English,Neutral,Financial,My father lost his job and I must work full time
English,Neutral,Family,My mother is seriously ill and I take care of her
English,Neutral,Accident,I had a road accident and cannot walk properly
English,Neutral,Academic Gap,My basics are weak and advanced courses are too hard
English,Neutral,Work Pressure,I am doing a full-time job and cannot manage classes
English,Neutral,Migration,My family is moving to another city
English,Neutral,Legal,My documents are under verification
English,Neutral,Disaster,Floods damaged roads and internet
RomanUrdu,Neutral,Medical,Mera operation hua hai aur bed rest zaroori hai
RomanUrdu,Neutral,Mental Health,Bohat stress hai aur focus nahi hota
RomanUrdu,Neutral,Financial,Abbu ki job chali gayi hai
RomanUrdu,Neutral,Family,Ammi bohat bimar hain
RomanUrdu,Neutral,Accident,Accident ke baad therapy chal rahi hai
RomanUrdu,Neutral,Academic Gap,Basics weak hain aur subjects mushkil hain
RomanUrdu,Neutral,Work,Full time job ki wajah se parhai miss ho rahi
RomanUrdu,Neutral,Migration,Family doosre shehar shift ho rahi
RomanUrdu,Neutral,Legal,Documents ka issue chal raha hai
RomanUrdu,Neutral,Disaster,Flood ki wajah se roads band hain
Mixed,Neutral,Medical,Mera operation hua hai aur classes attend nahi ho pa rahi
Mixed,Neutral,Mental Health,Mentally exhausted ho gaya hoon
Mixed,Neutral,Financial,Father ki job chali gayi hai
Mixed,Neutral,Family,Ammi hospital mein hain aur ghar sambhalna par raha
Mixed,Neutral,Accident,Accident ke baad doctor ne rest bola hai
Mixed,Neutral,Academic Gap,Basics weak hain is liye courses tough hain
Mixed,Neutral,Work,Full-time job aur studies manage nahi ho rahi
Mixed,Neutral,Migration,Family shift ho rahi hai is liye break chahiye
Mixed,Neutral,Legal,Documents ka masla hai
Mixed,Neutral,Disaster,Internet aur transport dono band hain
