input,response,language_type
tum kon ho,haan main tumhara dost hoon,roman_urdu
aaj ka din hard tha,you can do it believe in yourself,mixed
mujhe gussa aa raha hai,main aik social chatbot hoon,roman_urdu
mera mood off hai today,yes main guide karoon ga,mixed
tum bohat ache ho,you can do it believe in yourself,mixed
mujhe help chahiye,haan main help kar sakta hoon,mixed
mujhe akela mehsoos ho raha hai,tum akelay nahi ho main yahin hoon,roman_urdu
mujhe madad chahiye,haan main tumhara dost hoon,roman_urdu
mujhe madad chahiye,main yahin hoon madad ke liye,roman_urdu
mujhe akela mehsoos ho raha hai,haan main tumhara dost hoon,roman_urdu
mujhe help chahiye,kal behtar ho ga don’t worry,mixed
my mood is off,you are strong and capable,english
mujhe madad chahiye,tum strong ho tum kar saktay ho,roman_urdu
mujhe stress feel ho raha hai,relax karo main yahin hoon,mixed
mujhe motivation chahiye,thank you mujhe acha laga,mixed
who are you,i am here to help you,english
mujhe lonely feel ho raha hai,you can do it believe in yourself,mixed
mujhe gussa aa raha hai,haan bolo main sun raha hoon,roman_urdu
mujhe motivation chahiye,kal behtar ho ga don’t worry,mixed
aaj ka din hard tha,kal behtar ho ga don’t worry,mixed
i feel lonely,try to relax and breathe,english
mujhe akela mehsoos ho raha hai,main aik social chatbot hoon,roman_urdu
mera mood off hai today,relax karo main yahin hoon,mixed
tum mere dost ho,relax karo gehri saans lo,roman_urdu
who are you,it is okay things will improve,english
who are you,i am a social chatbot,english
mujhe akela mehsoos ho raha hai,relax karo gehri saans lo,roman_urdu
tum kon ho,main yahin hoon madad ke liye,roman_urdu
mujhe himmat chahiye,tum strong ho tum kar saktay ho,roman_urdu
i need motivation,tomorrow will be better,english
mujhe stress ho raha hai,sab theek ho jata hai thora sabar karo,roman_urdu
aaj ka din hard tha,you are not alone,mixed
mujhe stress feel ho raha hai,it’s okay sab theek ho jata hai,mixed
tum mere dost ho,main yahin hoon madad ke liye,roman_urdu
mujhe lonely feel ho raha hai,haan main help kar sakta hoon,mixed
mujhe baat karni hai,mujhe afsos hai tumhara din mushkil tha,roman_urdu
tum bohat ache ho,you are not alone,mixed
mujhe lonely feel ho raha hai,yes main guide karoon ga,mixed
mujhe stress feel ho raha hai,thank you mujhe acha laga,mixed
mujhe madad chahiye,main yahin hoon madad ke liye,roman_urdu
can we talk,you are not alone,english
mujhe himmat chahiye,thora calm ho jao sab theek ho ga,roman_urdu
i feel lonely,it is okay things will improve,english
mujhe stress feel ho raha hai,you are not alone,mixed
mera din acha nahi tha,mujhe afsos hai tumhara din mushkil tha,roman_urdu
mujhe stress ho raha hai,relax karo gehri saans lo,roman_urdu
tum bohat ache ho,haan main help kar sakta hoon,mixed
mujhe help chahiye,haan main help kar sakta hoon,mixed
mera mood off hai today,relax karo main yahin hoon,mixed
who are you,you are strong and capable,english
mujhe madad chahiye,tum strong ho tum kar saktay ho,roman_urdu
who are you,you are strong and capable,english
mujhe himmat chahiye,haan main tumhara dost hoon,roman_urdu
tum kon ho,haan bolo main sun raha hoon,roman_urdu
mujhe akela mehsoos ho raha hai,tum akelay nahi ho main yahin hoon,roman_urdu
mera din acha nahi tha,tum strong ho tum kar saktay ho,roman_urdu
mujhe himmat chahiye,main yahin hoon madad ke liye,roman_urdu
aaj ka din hard tha,it’s okay sab theek ho jata hai,mixed
mujhe stress ho raha hai,tum akelay nahi ho main yahin hoon,roman_urdu
mujhe stress ho raha hai,haan bolo main sun raha hoon,roman_urdu
i need help,tomorrow will be better,english
mujhe baat karni hai,haan bolo main sun raha hoon,roman_urdu
mujhe akela mehsoos ho raha hai,mujhe afsos hai tumhara din mushkil tha,roman_urdu
mera mood off hai,haan main tumhara dost hoon,roman_urdu
mujhe akela mehsoos ho raha hai,relax karo gehri saans lo,roman_urdu
mujhe help chahiye,you are not alone,mixed
my mood is off,i am here to help you,english
mera din acha nahi tha,tum strong ho tum kar saktay ho,roman_urdu
aaj ka din hard tha,yes main guide karoon ga,mixed
i feel lonely,you are not alone,english
mera mood off hai,haan bolo main sun raha hoon,roman_urdu
i need help,you are strong and capable,english
tum bohat ache ho,relax karo main yahin hoon,mixed
i need motivation,you are not alone,english
mujhe gussa aa raha hai,haan bolo main sun raha hoon,roman_urdu
i need help,tomorrow will be better,english
mujhe gussa aa raha hai,haan main tumhara dost hoon,roman_urdu
mujhe himmat chahiye,main yahin hoon madad ke liye,roman_urdu
who are you,you are not alone,english
mujhe help chahiye,thank you mujhe acha laga,mixed
mujhe himmat chahiye,main aik social chatbot hoon,roman_urdu
mera mood off hai,thora calm ho jao sab theek ho ga,roman_urdu
mujhe lonely feel ho raha hai,relax karo main yahin hoon,mixed
i feel lonely,i am here to help you,english
tum mujhe guide kar saktay ho,haan main help kar sakta hoon,mixed
mujhe himmat chahiye,main yahin hoon madad ke liye,roman_urdu
aaj ka din hard tha,yes main guide karoon ga,mixed
i need motivation,i am here to help you,english
mujhe stress feel ho raha hai,thank you mujhe acha laga,mixed
aaj ka din hard tha,you can do it believe in yourself,mixed
i need help,you are strong and capable,english
mujhe motivation chahiye,yes main guide karoon ga,mixed
mujhe baat karni hai,haan bolo main sun raha hoon,roman_urdu
mujhe help chahiye,it’s okay sab theek ho jata hai,mixed
tum kon ho,main yahin hoon madad ke liye,roman_urdu
can we talk,try to relax and breathe,english
mera din acha nahi tha,tum akelay nahi ho main yahin hoon,roman_urdu
mujhe stress feel ho raha hai,haan main help kar sakta hoon,mixed
mujhe help chahiye,relax karo main yahin hoon,mixed
mera mood off hai today,relax karo main yahin hoon,mixed
my mood is off,yes i am listening,english
mera mood off hai today,kal behtar ho ga don’t worry,mixed
aaj ka din hard tha,you are not alone,mixed
mujhe motivation chahiye,relax karo main yahin hoon,mixed
my day was hard,try to relax and breathe,english
tum mere dost ho,tum akelay nahi ho main yahin hoon,roman_urdu
mujhe motivation chahiye,yes main guide karoon ga,mixed
mujhe baat karni hai,tum strong ho tum kar saktay ho,roman_urdu
tum mujhe guide kar saktay ho,relax karo main yahin hoon,mixed
mujhe baat karni hai,mujhe afsos hai tumhara din mushkil tha,roman_urdu
can we talk,try to relax and breathe,english
can we talk,tomorrow will be better,english
mujhe akela mehsoos ho raha hai,main aik social chatbot hoon,roman_urdu
mujhe stress ho raha hai,main aik social chatbot hoon,roman_urdu
can we talk,i am here to help you,english
i feel lonely,you are strong and capable,english
tum bohat ache ho,it’s okay sab theek ho jata hai,mixed
mujhe madad chahiye,thora calm ho jao sab theek ho ga,roman_urdu
mera mood off hai,mujhe afsos hai tumhara din mushkil tha,roman_urdu
who are you,try to relax and breathe,english
who are you,you are not alone,english
mujhe himmat chahiye,main yahin hoon madad ke liye,roman_urdu
tum bohat ache ho,you are not alone,mixed
mujhe akela mehsoos ho raha hai,relax karo gehri saans lo,roman_urdu
tum kon ho,sab theek ho jata hai thora sabar karo,roman_urdu
mujhe akela mehsoos ho raha hai,haan main tumhara dost hoon,roman_urdu
can we talk,you are not alone,english
mera mood off hai today,you are not alone,mixed
mera din acha nahi tha,haan main tumhara dost hoon,roman_urdu
can we talk,tomorrow will be better,english
mera mood off hai,thora calm ho jao sab theek ho ga,roman_urdu
i am stressed,i am a social chatbot,english
tum kon ho,sab theek ho jata hai thora sabar karo,roman_urdu
mera din acha nahi tha,sab theek ho jata hai thora sabar karo,roman_urdu
mujhe gussa aa raha hai,haan main tumhara dost hoon,roman_urdu
mera mood off hai today,yes main guide karoon ga,mixed
mujhe stress ho raha hai,tum strong ho tum kar saktay ho,roman_urdu
mujhe lonely feel ho raha hai,thank you mujhe acha laga,mixed
mujhe stress ho raha hai,mujhe afsos hai tumhara din mushkil tha,roman_urdu
who are you,you are not alone,english
mujhe stress ho raha hai,main aik social chatbot hoon,roman_urdu
mujhe stress feel ho raha hai,yes main guide karoon ga,mixed
tum mere dost ho,haan main tumhara dost hoon,roman_urdu
my day was hard,i am here to help you,english
mujhe madad chahiye,haan main tumhara dost hoon,roman_urdu
tum mujhe guide kar saktay ho,you can do it believe in yourself,mixed
mera din acha nahi tha,haan bolo main sun raha hoon,roman_urdu
mera mood off hai,thora calm ho jao sab theek ho ga,roman_urdu
can we talk,i am a social chatbot,english
mujhe baat karni hai,tum strong ho tum kar saktay ho,roman_urdu
i need help,yes i am listening,english
mujhe stress feel ho raha hai,it’s okay sab theek ho jata hai,mixed
i am stressed,it is okay things will improve,english
mujhe motivation chahiye,relax karo main yahin hoon,mixed
i feel lonely,you are not alone,english
mera mood off hai today,haan main help kar sakta hoon,mixed
mujhe lonely feel ho raha hai,yes main guide karoon ga,mixed
tum kon ho,sab theek ho jata hai thora sabar karo,roman_urdu
mujhe motivation chahiye,haan main help kar sakta hoon,mixed
i need help,yes i am listening,english
mujhe baat karni hai,haan main tumhara dost hoon,roman_urdu
i am stressed,yes i am listening,english
tum mere dost ho,tum strong ho tum kar saktay ho,roman_urdu
mujhe motivation chahiye,you can do it believe in yourself,mixed
mujhe stress feel ho raha hai,thank you mujhe acha laga,mixed
mujhe baat karni hai,main aik social chatbot hoon,roman_urdu
mujhe gussa aa raha hai,haan main tumhara dost hoon,roman_urdu
mujhe akela mehsoos ho raha hai,thora calm ho jao sab theek ho ga,roman_urdu
mujhe motivation chahiye,yes main guide karoon ga,mixed
mera mood off hai,sab theek ho jata hai thora sabar karo,roman_urdu
mujhe gussa aa raha hai,tum strong ho tum kar saktay ho,roman_urdu
mujhe stress feel ho raha hai,relax karo main yahin hoon,mixed
aaj ka din hard tha,kal behtar ho ga don’t worry,mixed
mujhe lonely feel ho raha hai,yes main guide karoon ga,mixed
mujhe help chahiye,yes main guide karoon ga,mixed
tum mujhe guide kar saktay ho,thank you mujhe acha laga,mixed
i feel lonely,you are strong and capable,english
tum bohat ache ho,yes main guide karoon ga,mixed
i need help,yes i am listening,english
tum mere dost ho,relax karo gehri saans lo,roman_urdu
mujhe madad chahiye,main aik social chatbot hoon,roman_urdu
my day was hard,tomorrow will be better,english
mera mood off hai,tum strong ho tum kar saktay ho,roman_urdu
mera din acha nahi tha,haan bolo main sun raha hoon,roman_urdu
tum kon ho,haan main tumhara dost hoon,roman_urdu
tum bohat ache ho,it’s okay sab theek ho jata hai,mixed
tum mujhe guide kar saktay ho,thank you mujhe acha laga,mixed
mujhe stress ho raha hai,mujhe afsos hai tumhara din mushkil tha,roman_urdu
mujhe akela mehsoos ho raha hai,haan main tumhara dost hoon,roman_urdu
mujhe help chahiye,kal behtar ho ga don’t worry,mixed
i am stressed,i am here to help you,english
i am stressed,you are strong and capable,english
aaj ka din hard tha,you are not alone,mixed
tum mere dost ho,mujhe afsos hai tumhara din mushkil tha,roman_urdu
can we talk,try to relax and breathe,english
mujhe madad chahiye,tum akelay nahi ho main yahin hoon,roman_urdu
mujhe stress ho raha hai,mujhe afsos hai tumhara din mushkil tha,roman_urdu
mujhe lonely feel ho raha hai,you can do it believe in yourself,mixed
tum mujhe guide kar saktay ho,you are not alone,mixed
mujhe gussa aa raha hai,tum akelay nahi ho main yahin hoon,roman_urdu
tum kon ho,tum akelay nahi ho main yahin hoon,roman_urdu
i need motivation,i am a social chatbot,english
tum mere dost ho,tum strong ho tum kar saktay ho,roman_urdu
aaj ka din hard tha,it’s okay sab theek ho jata hai,mixed
mujhe stress feel ho raha hai,haan main help kar sakta hoon,mixed
mera mood off hai today,yes main guide karoon ga,mixed
i need motivation,you are not alone,english
mujhe motivation chahiye,yes main guide karoon ga,mixed
aaj ka din hard tha,you can do it believe in yourself,mixed
mujhe stress ho raha hai,haan bolo main sun raha hoon,roman_urdu
mera mood off hai,main yahin hoon madad ke liye,roman_urdu
mujhe lonely feel ho raha hai,kal behtar ho ga don’t worry,mixed
i feel lonely,you are strong and capable,english
mujhe stress ho raha hai,sab theek ho jata hai thora sabar karo,roman_urdu
mujhe stress feel ho raha hai,thank you mujhe acha laga,mixed
mera mood off hai today,thank you mujhe acha laga,mixed
aaj ka din hard tha,it’s okay sab theek ho jata hai,mixed
mujhe stress ho raha hai,main aik social chatbot hoon,roman_urdu
mujhe akela mehsoos ho raha hai,relax karo gehri saans lo,roman_urdu
mujhe help chahiye,you can do it believe in yourself,mixed
my mood is off,try to relax and breathe,english
mujhe stress feel ho raha hai,kal behtar ho ga don’t worry,mixed
mujhe stress ho raha hai,main aik social chatbot hoon,roman_urdu
mera mood off hai,tum strong ho tum kar saktay ho,roman_urdu
can we talk,i am here to help you,english
tum mere dost ho,main aik social chatbot hoon,roman_urdu
mujhe lonely feel ho raha hai,you can do it believe in yourself,mixed
i feel lonely,you are not alone,english
